formula_pretty,a_site_element,b_site_element,lowest_distortion,formation_energy_per_atom,energy_above_hull,magnetic_moment,volume_per_atom,band_gap_pbe,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,e_form_oxygen,source,stable,perovskite_type,magpie_Z_mean,magpie_Z_wmean,magpie_Z_min,magpie_Z_max,magpie_Z_range,magpie_Z_std,magpie_atomic_mass_mean,magpie_atomic_mass_wmean,magpie_atomic_mass_min,magpie_atomic_mass_max,magpie_atomic_mass_range,magpie_atomic_mass_std,magpie_X_mean,magpie_X_wmean,magpie_X_min,magpie_X_max,magpie_X_range,magpie_X_std,magpie_atomic_radius_mean,magpie_atomic_radius_wmean,magpie_atomic_radius_min,magpie_atomic_radius_max,magpie_atomic_radius_range,magpie_atomic_radius_std,magpie_row_mean,magpie_row_wmean,magpie_row_min,magpie_row_max,magpie_row_range,magpie_row_std,magpie_group_mean,magpie_group_wmean,magpie_group_min,magpie_group_max,magpie_group_range,magpie_group_std,magpie_mendeleev_no_mean,magpie_mendeleev_no_wmean,magpie_mendeleev_no_min,magpie_mendeleev_no_max,magpie_mendeleev_no_range,magpie_mendeleev_no_std,magpie_electrical_resistivity_mean,magpie_electrical_resistivity_wmean,magpie_electrical_resistivity_min,magpie_electrical_resistivity_max,magpie_electrical_resistivity_range,magpie_electrical_resistivity_std,magpie_velocity_of_sound_mean,magpie_velocity_of_sound_wmean,magpie_velocity_of_sound_min,magpie_velocity_of_sound_max,magpie_velocity_of_sound_range,magpie_velocity_of_sound_std,magpie_thermal_conductivity_mean,magpie_thermal_conductivity_wmean,magpie_thermal_conductivity_min,magpie_thermal_conductivity_max,magpie_thermal_conductivity_range,magpie_thermal_conductivity_std,magpie_melting_point_mean,magpie_melting_point_wmean,magpie_melting_point_min,magpie_melting_point_max,magpie_melting_point_range,magpie_melting_point_std,magpie_bulk_modulus_mean,magpie_bulk_modulus_wmean,magpie_bulk_modulus_min,magpie_bulk_modulus_max,magpie_bulk_modulus_range,magpie_bulk_modulus_std,magpie_youngs_modulus_mean,magpie_youngs_modulus_wmean,magpie_youngs_modulus_min,magpie_youngs_modulus_max,magpie_youngs_modulus_range,magpie_youngs_modulus_std,magpie_brinell_hardness_mean,magpie_brinell_hardness_wmean,magpie_brinell_hardness_min,magpie_brinell_hardness_max,magpie_brinell_hardness_range,magpie_brinell_hardness_std,magpie_rigidity_modulus_mean,magpie_rigidity_modulus_wmean,magpie_rigidity_modulus_min,magpie_rigidity_modulus_max,magpie_rigidity_modulus_range,magpie_rigidity_modulus_std,magpie_density_mean,magpie_density_wmean,magpie_density_min,magpie_density_max,magpie_density_range,magpie_density_std,phys_tolerance_factor,phys_octahedral_factor,phys_electroneg_diff_AB,phys_radius_ratio_AB,phys_b_site_valence,phys_a_site_radius,phys_b_site_radius,phys_a_site_en,phys_b_site_en,phys_b_site_row,phys_b_site_group,phys_in_stable_zone,phys_stability_score,struct_ba_ratio,struct_ca_ratio,struct_abc_spread,struct_lattice_alpha_dev,struct_lattice_beta_dev,struct_lattice_gamma_dev,struct_vpa,struct_band_gap,struct_mag_moment,struct_distort_cubic,struct_distort_orthorhombic,struct_distort_rhombohedral,struct_distort_tetragonal,anomaly_type,surprise
ThPbO3,Th,Pb,cubic,-1.484,1.586,0.002,16.36,0.0,4.341,4.341,4.341,90.0,90.0,90.0,-0.361,wolverton_oxides,0,single_ABO3,60.0,39.2,8.0,90.0,82.0,36.914315199752345,151.74582,97.447252,15.9994,232.03806,216.03866,96.52132825876085,2.356666666666667,2.79,1.3,3.44,2.14,0.8738548061447177,1.4,1.08,0.6,1.8,1.2000000000000002,0.565685424949238,5.0,3.8000000000000007,2.0,7.0,5.0,2.160246899469287,11.0,13.0,3.0,16.0,13.0,5.715476066494082,76.66666666666667,86.4,47.0,101.0,54.0,22.365648262955,1.8e-07,1.8000000000000002e-07,1.5e-07,2.1e-07,6.000000000000002e-08,3.0000000000000004e-08,1355.8333333333333,940.5,317.5,2490.0,2172.5,889.5043875976979,29.675526666666663,17.815948000000002,0.02658,54.0,53.97342,22.353896436372985,923.47,576.0020000000001,54.8,2115.0,2060.2,871.5063375940915,50.0,50.0,46.0,54.0,8.0,4.0,47.5,47.5,16.0,79.0,63.0,31.5,219.15,219.15,38.3,400.0,361.7,180.85,18.3,18.3,5.6,31.0,25.4,12.7,11532.0,11532.0,11340.0,11724.0,384.0,192.0,0.8062642838356955,0.5535714285714286,1.03,1.3935483870967742,2.0,1.08,0.775,1.3,2.33,6.0,14.0,1,0.6396816168708479,1.0,1.0,0.0,0.0,0.0,0.0,16.36,0.0,0.002,1,0,0,0,unexpectly_unstable,1.586
ThHgO3,Th,Hg,cubic,-1.331,1.393,0,15.33,0.0,4.248,4.248,4.248,90.0,90.0,90.0,-1.766,wolverton_oxides,0,single_ABO3,59.333333333333336,38.8,8.0,90.0,82.0,36.527006751473934,149.54248666666666,96.125252,15.9994,232.03806,216.03866,95.29799619014918,2.2466666666666666,2.724,1.3,3.44,2.14,0.8908921870175363,1.3,1.02,0.6,1.8,1.2000000000000002,0.5099019513592785,5.0,3.8000000000000007,2.0,7.0,5.0,2.160246899469287,10.333333333333334,12.6,3.0,16.0,13.0,5.436502143433364,74.0,84.8,47.0,101.0,54.0,22.0454076850486,5.55e-07,5.55e-07,1.5e-07,9.6e-07,8.099999999999999e-07,4.05e-07,1404.8333333333333,969.9,317.5,2490.0,2172.5,886.9207342761183,20.775526666666668,12.475948,0.02658,54.0,53.97342,23.734806941594357,801.3733333333334,502.744,54.8,2115.0,2060.2,931.7611003303846,39.5,39.5,25.0,54.0,29.0,14.5,79.0,79.0,79.0,79.0,0.0,0.0,400.0,400.0,400.0,400.0,0.0,0.0,31.0,31.0,31.0,31.0,0.0,0.0,11724.0,11724.0,11724.0,11724.0,0.0,0.0,0.839054936527578,0.4928571428571428,0.7,1.565217391304348,3.0,1.08,0.69,1.3,2.0,6.0,12.0,1,0.7314365697475996,1.0,1.0,0.0,0.0,0.0,0.0,15.33,0.0,0.0,1,0,0,0,unexpectly_unstable,1.393
ScHgO3,Sc,Hg,cubic,-0.725,1.361,0.017,14.268,0.0,4.147,4.147,4.147,90.0,90.0,90.0,-3.25,wolverton_oxides,0,single_ABO3,36.333333333333336,25.0,8.0,80.0,72.0,31.329787033357817,87.18177066666665,58.7088224,15.9994,200.59,184.5906,81.05837302912424,2.266666666666667,2.736,1.36,3.44,2.08,0.8698403429493381,1.2333333333333334,0.98,0.6,1.6,1.0,0.4496912521077347,4.0,3.2,2.0,6.0,4.0,1.632993161855452,10.333333333333334,12.6,3.0,16.0,13.0,5.436502143433364,64.66666666666667,79.19999999999999,19.0,101.0,82.0,34.120700787384514,7.55e-07,7.550000000000001e-07,5.5e-07,9.6e-07,4.099999999999999e-07,2.0499999999999997e-07,862.25,589.875,317.5,1407.0,1089.5,544.75,8.10886,4.875948,0.02658,16.0,15.97342,6.522521879293826,701.0400000000001,442.544,54.8,1814.0,1759.2,790.386752925427,41.0,40.99999999999999,25.0,57.0,32.0,16.0,74.0,74.0,74.0,74.0,0.0,0.0,750.0,750.0,750.0,750.0,0.0,0.0,29.0,29.000000000000004,29.0,29.0,0.0,0.0,2985.0,2985.0,2985.0,2985.0,0.0,0.0,0.8322883644588072,0.4928571428571428,0.6399999999999999,1.5362318840579712,3.0,1.06,0.69,1.36,2.0,6.0,12.0,1,0.7002814059922416,1.0,1.0,0.0,0.0,0.0,0.0,14.268,0.0,0.017,1,0,0,0,unexpectly_unstable,1.361
ThSbO3,Th,Sb,cubic,-1.71,1.359,0.002,15.58,0.0,4.271,4.271,4.271,90.0,90.0,90.0,-0.8029999999999999,wolverton_oxides,0,single_ABO3,49.66666666666666,33.0,8.0,90.0,82.0,33.48963355361709,123.26582,80.359252,15.9994,232.03806,216.03866,88.20384071022909,2.263333333333333,2.734,1.3,3.44,2.14,0.8865789430288892,1.2833333333333334,1.01,0.6,1.8,1.2000000000000002,0.5038738819276991,4.666666666666667,3.6000000000000005,2.0,7.0,5.0,2.0548046676563256,11.333333333333334,13.2,3.0,16.0,13.0,5.90668171555645,78.66666666666667,87.6,47.0,101.0,54.0,23.01207412545761,2.75e-07,2.75e-07,1.5e-07,4e-07,2.5e-07,1.25e-07,2075.833333333333,1372.5,317.5,3420.0,3102.5,1300.0069444258963,26.00886,15.615948,0.02658,54.0,53.97342,22.08029521992856,1024.5266666666666,636.636,54.8,2115.0,2060.2,845.3956975418212,48.0,48.00000000000001,42.0,54.0,12.0,6.0,67.0,67.0,55.0,79.0,24.0,12.0,347.0,347.0,294.0,400.0,106.0,53.0,25.5,25.5,20.0,31.0,11.0,5.5,9210.5,9210.5,6697.0,11724.0,5027.0,2513.5,0.8768124086713188,0.4285714285714286,0.7499999999999998,1.8000000000000005,5.0,1.08,0.6,1.3,2.05,5.0,15.0,1,0.6443982490440594,1.0,1.0,0.0,0.0,0.0,0.0,15.58,0.0,0.002,1,0,0,0,unexpectly_unstable,1.359
SmUO3,Sm,U,cubic,-2.301,1.269,0.581,22.751,0.0,4.845,4.845,4.845,90.0,90.0,90.0,-1.117,wolverton_oxides,0,single_ABO3,54.0,35.6,8.0,92.0,84.0,34.75629439396553,134.79610333333332,87.277422,15.9994,238.02891,222.02951,91.30882391568385,1.9966666666666668,2.574,1.17,3.44,2.27,1.024185313093073,1.4,1.08,0.6,1.85,1.25,0.5671566509057853,5.0,3.8000000000000007,2.0,7.0,5.0,2.160246899469287,7.333333333333333,10.8,3.0,16.0,13.0,6.128258770283413,58.0,75.19999999999999,28.0,101.0,73.0,31.187604375242845,6.1e-07,6.1e-07,2.8e-07,9.4e-07,6.6e-07,3.3e-07,1867.5,1247.5,317.5,3155.0,2837.5,1173.1812164651576,13.342193333333334,8.015948,0.02658,27.0,26.97342,11.014510696716805,935.0333333333334,582.9399999999999,54.8,1405.3,1350.5,622.9055912058869,69.0,69.0,38.0,100.0,62.0,31.0,129.0,129.0,50.0,208.0,158.0,79.0,1420.5,1420.5,441.0,2400.0,1959.0,979.5,65.5,65.5,20.0,111.0,91.0,45.5,13201.5,13201.5,7353.0,19050.0,11697.0,5848.5,0.8116356097097762,0.6428571428571429,0.2099999999999999,1.3777777777777778,3.0,1.24,0.9,1.17,1.38,7.0,3.0,1,0.6145107558636955,1.0,1.0,0.0,0.0,0.0,0.0,22.751,0.0,0.581,1,0,0,0,unexpectly_unstable,1.269
PaSbO3,Pa,Sb,cubic,-1.13,1.256,0.481,15.457,0.0,4.26,4.26,4.26,90.0,90.0,90.0,-0.278,wolverton_oxides,0,single_ABO3,50.0,33.2,8.0,91.0,83.0,33.891985286593446,122.93176,80.158816,15.9994,231.03588,215.03648,87.79218529694921,2.33,2.774,1.5,3.44,1.94,0.8163740972536222,1.2833333333333334,1.01,0.6,1.8,1.2000000000000002,0.5038738819276991,4.666666666666667,3.6000000000000005,2.0,7.0,5.0,2.0548046676563256,11.333333333333334,13.2,3.0,16.0,13.0,5.90668171555645,78.33333333333333,87.4,46.0,101.0,55.0,23.471022323045258,2.9e-07,2.9e-07,1.8e-07,4e-07,2.2e-07,1.1e-07,1868.75,1093.125,317.5,3420.0,3102.5,1551.25,23.675526666666663,14.215948,0.02658,47.0,46.97342,19.17819089195039,933.1933333333332,581.836,54.8,1841.0,1786.2,729.5096381055489,42.0,42.0,42.0,42.0,0.0,0.0,55.0,55.0,55.0,55.0,0.0,0.0,294.0,294.0,294.0,294.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,11033.5,11033.499999999998,6697.0,15370.0,8673.0,4336.5,0.8626702730475879,0.4285714285714286,0.5499999999999998,1.7333333333333334,5.0,1.04,0.6,1.5,2.05,5.0,15.0,1,0.6174047020790683,1.0,1.0,0.0,0.0,0.0,0.0,15.457,0.0,0.481,1,0,0,0,unexpectly_unstable,1.256
ThSnO3,Th,Sn,cubic,-1.912,1.245,0.002,14.743,0.0,4.193,4.193,4.193,90.0,90.0,90.0,-0.4529999999999999,wolverton_oxides,0,single_ABO3,49.333333333333336,32.8,8.0,90.0,82.0,33.47967874530592,122.24915333333333,79.749252,15.9994,232.03806,216.03866,88.23291093609963,2.233333333333333,2.716,1.3,3.44,2.14,0.8947749561885503,1.2833333333333334,1.01,0.6,1.8,1.2000000000000002,0.5038738819276991,4.666666666666667,3.6000000000000005,2.0,7.0,5.0,2.0548046676563256,11.0,13.0,3.0,16.0,13.0,5.715476066494082,77.0,86.6,47.0,101.0,54.0,22.44994432064365,1.325e-07,1.325e-07,1.15e-07,1.5e-07,3.5e-08,1.7499999999999998e-08,1769.1666666666667,1188.5,317.5,2500.0,2182.5,1026.491462323103,40.34219333333333,24.215948000000004,0.02658,67.0,66.97342,28.997258592634044,891.6266666666667,556.896,54.8,2115.0,2060.2,884.3716240485231,56.0,56.0,54.0,58.0,4.0,2.0,64.5,64.5,50.0,79.0,29.0,14.5,225.5,225.5,51.0,400.0,349.0,174.5,24.5,24.5,18.0,31.0,13.0,6.5,9517.0,9517.0,7310.0,11724.0,4414.0,2207.0,0.839054936527578,0.4928571428571428,0.6599999999999999,1.565217391304348,4.0,1.08,0.69,1.3,1.96,5.0,14.0,1,0.7314365697475996,1.0,1.0,0.0,0.0,0.0,0.0,14.743,0.0,0.002,1,0,0,0,unexpectly_unstable,1.245
LuPbO3,Lu,Pb,cubic,-1.358,1.239,0,15.545,0.0,4.268,4.268,4.268,90.0,90.0,90.0,0.427,wolverton_oxides,0,single_ABO3,53.66666666666666,35.4,8.0,82.0,74.0,32.601976763516795,132.72213333333335,86.03304,15.9994,207.2,191.2006,83.57786361572596,2.3466666666666667,2.784,1.27,3.44,2.17,0.885977175527426,1.383333333333333,1.07,0.6,1.8,1.2000000000000002,0.554276304943863,4.666666666666667,3.6000000000000005,2.0,6.0,4.0,1.8856180831641267,11.0,13.0,3.0,16.0,13.0,5.715476066494082,67.66666666666667,81.0,20.0,101.0,81.0,34.58644564308715,3.95e-07,3.9500000000000003e-07,2.1e-07,5.8e-07,3.7000000000000006e-07,1.8500000000000003e-07,788.75,553.125,317.5,1260.0,942.5,471.25,17.008860000000002,10.215948,0.02658,35.0,34.97342,14.295649116632188,860.1366666666668,538.002,54.8,1925.0,1870.2,785.2505239447826,47.0,47.00000000000001,46.0,48.0,2.0,1.0,42.5,42.5,16.0,69.0,53.0,26.5,465.65,465.65,38.3,893.0,854.7,427.35,16.3,16.3,5.6,27.0,21.4,10.7,10590.5,10590.499999999998,9841.0,11340.0,1499.0,749.5,0.814391947987265,0.5535714285714286,1.06,1.4258064516129032,2.0,1.105,0.775,1.27,2.33,6.0,14.0,1,0.6880440587091252,1.0,1.0,0.0,0.0,0.0,0.0,15.545,0.0,0.0,1,0,0,0,unexpectly_unstable,1.239
ScSbO3,Sc,Sb,cubic,-1.515,1.178,0.2,13.968,0.0,4.118,4.118,4.118,90.0,90.0,90.0,1.271,wolverton_oxides,0,single_ABO3,26.666666666666668,19.200000000000003,8.0,51.0,43.0,18.00617178142601,60.905104,42.9428224,15.9994,121.76,105.7606,44.62516981987967,2.283333333333333,2.746,1.36,3.44,2.08,0.8650369292052732,1.2166666666666666,0.97,0.6,1.6,1.0,0.4403281604540969,3.6666666666666665,3.0,2.0,5.0,3.0,1.247219128924647,11.333333333333334,13.2,3.0,16.0,13.0,5.90668171555645,69.33333333333333,82.0,19.0,101.0,82.0,35.98456459218159,4.75e-07,4.75e-07,4e-07,5.5e-07,1.5000000000000005e-07,7.500000000000002e-08,1868.75,1093.125,317.5,3420.0,3102.5,1551.25,13.342193333333334,8.015948,0.02658,24.0,23.97342,9.965914202324283,924.1933333333332,576.436,54.8,1814.0,1759.2,718.3354314586528,49.5,49.5,42.0,57.0,15.0,7.5,64.5,64.5,55.0,74.0,19.0,9.5,522.0,522.0,294.0,750.0,456.0,228.0,24.5,24.5,20.0,29.0,9.0,4.5,4841.0,4841.0,2985.0,6697.0,3712.0,1856.0,0.8697413408594534,0.4285714285714286,0.6899999999999997,1.7666666666666668,5.0,1.06,0.6,1.36,2.05,5.0,15.0,1,0.6323359573806842,1.0,1.0,0.0,0.0,0.0,0.0,13.968,0.0,0.2,1,0,0,0,unexpectly_unstable,1.178
LuSbO3,Lu,Sb,cubic,-1.597,1.1740000000000002,0,14.726,0.0,4.191,4.191,4.191,90.0,90.0,90.0,0.01,wolverton_oxides,0,single_ABO3,43.333333333333336,29.200000000000003,8.0,71.0,63.0,26.284765338288427,104.24213333333334,68.94504,15.9994,174.967,158.9676,66.06981762677687,2.2533333333333334,2.728,1.27,3.44,2.17,0.8974903280196889,1.2666666666666668,1.0,0.6,1.75,1.15,0.4870546398734152,4.333333333333333,3.4000000000000004,2.0,6.0,4.0,1.699673171197595,11.333333333333334,13.2,3.0,16.0,13.0,5.90668171555645,69.66666666666667,82.19999999999999,20.0,101.0,81.0,35.51838334659329,4.9e-07,4.9e-07,4e-07,5.8e-07,1.7999999999999997e-07,9e-08,1868.75,1093.125,317.5,3420.0,3102.5,1551.25,13.342193333333334,8.015948,0.02658,24.0,23.97342,9.965914202324283,961.1933333333332,598.636,54.8,1925.0,1870.2,764.5845181680194,45.0,45.0,42.0,48.0,6.0,3.0,62.0,62.0,55.0,69.0,14.0,7.0,593.5,593.5,294.0,893.0,599.0,299.5,23.5,23.5,20.0,27.0,7.0,3.5,8269.0,8269.0,6697.0,9841.0,3144.0,1572.0,0.8856512434361506,0.4285714285714286,0.7799999999999998,1.8416666666666668,5.0,1.105,0.6,1.27,2.05,5.0,15.0,1,0.6551772521176619,1.0,1.0,0.0,0.0,0.0,0.0,14.726,0.0,0.0,1,0,0,0,unexpectly_unstable,1.1740000000000002
LuHgO3,Lu,Hg,cubic,-1.018,1.144,-0.005,14.494000000000002,0.0,4.169,4.169,4.169,90.0,90.0,90.0,-1.412,wolverton_oxides,0,single_ABO3,53.0,35.0,8.0,80.0,72.0,32.03123475609393,130.5188,84.71104,15.9994,200.59,184.5906,81.6502878726095,2.236666666666667,2.718,1.27,3.44,2.17,0.9015665378784986,1.2833333333333334,1.0100000000000002,0.6,1.75,1.15,0.4938510796676351,4.666666666666667,3.6000000000000005,2.0,6.0,4.0,1.8856180831641267,10.333333333333334,12.6,3.0,16.0,13.0,5.436502143433364,65.0,79.39999999999999,20.0,101.0,81.0,33.67491648096547,7.699999999999999e-07,7.699999999999999e-07,5.8e-07,9.6e-07,3.8e-07,1.9e-07,862.25,589.875,317.5,1407.0,1089.5,544.75,8.10886,4.875948,0.02658,16.0,15.97342,6.522521879293826,738.0400000000001,464.744,54.8,1925.0,1870.2,842.501192402717,36.5,36.5,25.0,48.0,23.0,11.5,69.0,69.0,69.0,69.0,0.0,0.0,893.0,893.0000000000001,893.0,893.0,0.0,0.0,27.0,27.0,27.0,27.0,0.0,0.0,9841.0,9841.0,9841.0,9841.0,0.0,0.0,0.8475131516135415,0.4928571428571428,0.73,1.6014492753623188,3.0,1.105,0.69,1.27,2.0,6.0,12.0,1,0.767379972435991,1.0,1.0,0.0,0.0,0.0,0.0,14.494000000000002,0.0,-0.005,1,0,0,0,unexpectly_unstable,1.144
PaIrO3,Pa,Ir,cubic,-1.037,1.142,0.335,12.776,0.0,3.997,3.997,3.997,90.0,90.0,90.0,-1.955,wolverton_oxides,0,single_ABO3,58.66666666666666,38.4,8.0,91.0,83.0,36.2797770420688,146.41742666666667,94.250216,15.9994,231.03588,215.03648,93.57126560661,2.3800000000000003,2.8040000000000003,1.5,3.44,1.94,0.8021637405584141,1.2500000000000002,0.99,0.6,1.8,1.2000000000000002,0.4949747468305833,5.0,3.8000000000000007,2.0,7.0,5.0,2.160246899469287,9.333333333333334,12.0,3.0,16.0,13.0,5.312459150169743,71.0,83.0,46.0,101.0,55.0,22.73030282830976,1.135e-07,1.135e-07,4.7e-08,1.8e-07,1.33e-07,6.65e-08,2571.25,1444.375,317.5,4825.0,4507.5,2253.75,65.67552666666667,39.415948,0.02658,150.0,149.97342,62.634325779783794,1544.9333333333334,948.88,54.8,2739.0,2684.2,1115.638535647735,320.0,320.0,320.0,320.0,0.0,0.0,528.0,528.0,528.0,528.0,0.0,0.0,1670.0,1670.0,1670.0,1670.0,0.0,0.0,210.0,210.0,210.0,210.0,0.0,0.0,19010.0,19010.0,15370.0,22650.0,7280.0,3640.0,0.8520200227630498,0.4464285714285714,0.7000000000000002,1.664,4.0,1.04,0.625,1.5,2.2,6.0,9.0,1,0.6492424213407001,1.0,1.0,0.0,0.0,0.0,0.0,12.776,0.0,0.335,1,0,0,0,unexpectly_unstable,1.142
PaPtO3,Pa,Pt,cubic,-0.96,1.136,0.358,13.395,0.0,4.061,4.061,4.061,90.0,90.0,90.0,-1.815,wolverton_oxides,0,single_ABO3,59.0,38.6,8.0,91.0,83.0,36.45088019056147,147.37309333333332,94.823616,15.9994,231.03588,215.03648,94.04757623640684,2.4066666666666667,2.8200000000000003,1.5,3.44,1.94,0.797050116924205,1.2500000000000002,0.99,0.6,1.8,1.2000000000000002,0.4949747468305833,5.0,3.8000000000000007,2.0,7.0,5.0,2.160246899469287,9.666666666666666,12.2,3.0,16.0,13.0,5.312459150169743,71.66666666666667,83.4,46.0,101.0,55.0,22.60285134421958,1.43e-07,1.4300000000000002e-07,1.06e-07,1.8e-07,7.4e-08,3.7e-08,1498.75,908.125,317.5,2680.0,2362.5,1181.25,39.67552666666666,23.815948,0.02658,72.0,71.97342,29.83598754113488,1312.4,809.36,54.8,2041.4,1986.6,893.0130122232263,230.0,230.0,230.0,230.0,0.0,0.0,168.0,168.0,168.0,168.0,0.0,0.0,392.0,392.0,392.0,392.0,0.0,0.0,61.0,61.0,61.0,61.0,0.0,0.0,18230.0,18230.0,15370.0,21090.0,5720.0,2860.0,0.8520200227630498,0.4464285714285714,0.7799999999999998,1.664,4.0,1.04,0.625,1.5,2.28,6.0,10.0,1,0.6492424213407001,1.0,1.0,0.0,0.0,0.0,0.0,13.395,0.0,0.358,1,0,0,0,unexpectly_unstable,1.136
ThAsO3,Th,As,cubic,-1.892,1.132,0,13.529000000000002,0.0,4.075,4.075,4.075,90.0,90.0,90.0,1.662,wolverton_oxides,0,single_ABO3,43.66666666666666,29.4,8.0,90.0,82.0,34.31552936434983,107.65301999999998,70.99157199999999,15.9994,232.03806,216.03866,91.18364270365308,2.306666666666666,2.76,1.3,3.44,2.14,0.8782305442700618,1.1833333333333331,0.95,0.6,1.8,1.2000000000000002,0.4904646323187387,4.333333333333333,3.4000000000000004,2.0,7.0,5.0,2.0548046676563256,11.333333333333334,13.2,3.0,16.0,13.0,5.90668171555645,79.0,87.8,47.0,101.0,54.0,23.15167380558045,2.400000000000001e-07,2.400000000000001e-07,1.5e-07,3.3e-07,1.8000000000000002e-07,9.000000000000001e-08,1403.75,860.625,317.5,2490.0,2172.5,1086.25,34.67552666666666,20.815948,0.02658,54.0,53.97342,24.554865489784756,1086.6,673.88,54.8,2115.0,2060.2,841.0765640931072,38.0,38.0,22.0,54.0,32.0,16.0,43.5,43.5,8.0,79.0,71.0,35.5,920.0,920.0,400.0,1440.0,1040.0,520.0,31.0,31.0,31.0,31.0,0.0,0.0,8725.5,8725.5,5727.0,11724.0,5997.0,2998.5,0.8768124086713188,0.4285714285714286,0.8800000000000001,1.8000000000000005,3.0,1.08,0.6,1.3,2.18,4.0,15.0,1,0.6443982490440594,1.0,1.0,0.0,0.0,0.0,0.0,13.529000000000002,0.0,0.0,1,0,0,0,unexpectly_unstable,1.132
