formula_pretty,a_site_element,b_site_element,is_in_training,phys_tolerance_factor,phys_octahedral_factor,phys_electroneg_diff_AB,phys_radius_ratio_AB,phys_b_site_valence,phys_a_site_radius,phys_b_site_radius,phys_a_site_en,phys_b_site_en,phys_b_site_row,phys_b_site_group,phys_in_stable_zone,phys_stability_score,pred_energy_above_hull,pred_std,priority
LaTiO3,La,Ti,False,0.9733739232293621,0.43214285714285716,0.43999999999999995,2.2479338842975207,4.0,1.36,0.605,1.1,1.54,4.0,4.0,1,0.5160298312815651,0.005282812499999999,0.003016782080478096,1
PrCoO3,Pr,Co,False,0.9568808183220942,0.4357142857142857,0.75,2.1639344262295084,2.0,1.32,0.61,1.13,1.88,4.0,9.0,1,0.5859452483012662,0.00569375,0.0022138414012751683,1
GdCoO3,Gd,Co,False,0.9122029271724964,0.4357142857142857,0.6799999999999999,1.955737704918033,2.0,1.193,0.61,1.2,1.88,4.0,9.0,1,0.6837225149055886,0.015804687499999994,0.0034654485274050293,1
YbCoO3,Yb,Co,False,0.8858183457849387,0.4357142857142857,0.7799999999999998,1.832786885245902,2.0,1.118,0.61,1.1,1.88,4.0,9.0,1,0.6819400570653943,0.017406249999999998,0.005310363540992272,1
DyCoO3,Dy,Co,False,0.9030562722914764,0.4357142857142857,0.6599999999999999,1.9131147540983608,2.0,1.167,0.61,1.22,1.88,4.0,9.0,1,0.688510581461386,0.01893124999999999,0.0040619566944392746,1
ErFeO3,Er,Fe,False,0.8796477512658075,0.46071428571428574,0.5900000000000001,1.773643410852713,3.0,1.144,0.645,1.24,1.83,4.0,8.0,1,0.7633264102181817,0.019328124999999995,0.009942107324248462,1
YCoO3,Y,Co,False,0.9002419169434703,0.4357142857142857,0.6599999999999999,1.9000000000000001,2.0,1.159,0.61,1.22,1.88,4.0,9.0,1,0.6888302029059462,0.025421874999999993,0.0064137600796549295,1
SrNpO3,Sr,Np,False,0.8769359207728361,0.6357142857142858,0.41000000000000014,1.6179775280898876,,1.44,0.89,0.95,1.36,7.0,3.0,1,0.9008784907572378,0.025481249999999997,0.010734001540082803,1
LaAlO3,La,Al,False,1.0085864165761607,0.3821428571428572,0.51,2.542056074766355,3.0,1.36,0.535,1.1,1.61,3.0,13.0,0,0.26982496049804144,0.032525,0.0051000765925621125,1
SmCoO3,Sm,Co,True,0.9287372648420326,0.4357142857142857,0.71,2.0327868852459017,2.0,1.24,0.61,1.17,1.88,4.0,9.0,1,0.6609685156982139,0.0005015624999999997,0.00046872656191403303,0
PrFeO3,Pr,Fe,True,0.940503885001178,0.46071428571428574,0.7000000000000002,2.046511627906977,3.0,1.32,0.645,1.13,1.83,4.0,8.0,1,0.7179272240673592,0.0008296874999999997,0.0013881324220310352,0
EuFeO3,Eu,Fe,True,0.9010857074680404,0.46071428571428574,0.6300000000000001,1.869767441860465,3.0,1.206,0.645,1.2,1.83,4.0,8.0,1,0.7792543505649306,0.00114375,0.0010061335336325886,0
EuCoO3,Eu,Co,True,0.9167762546130064,0.4357142857142857,0.6799999999999999,1.977049180327869,2.0,1.206,0.61,1.2,1.88,4.0,9.0,1,0.6792067621415856,0.0012968750000000003,0.0009764362418381448,0
YCrO3,Y,Cr,True,0.8980080660329407,0.43928571428571433,0.43999999999999995,1.8845528455284553,3.0,1.159,0.615,1.22,1.66,4.0,6.0,1,0.7020055597077822,0.0013890625,0.0010348693588292921,0
EuCrO3,Eu,Cr,True,0.9145013755693018,0.43928571428571433,0.45999999999999996,1.9609756097560975,3.0,1.206,0.615,1.2,1.66,4.0,6.0,1,0.6948008232103071,0.0014125,0.0007350595213994578,0
AcCrO3,Ac,Cr,True,0.9334511354621423,0.43928571428571433,0.5599999999999998,2.048780487804878,3.0,1.26,0.615,1.1,1.66,4.0,6.0,1,0.6639393405216208,0.0016812499999999994,0.0013259283304537987,0
PrCrO3,Pr,Cr,True,0.954506424231965,0.43928571428571433,0.53,2.1463414634146343,3.0,1.32,0.615,1.13,1.66,4.0,6.0,1,0.6052201037528829,0.0017062499999999999,0.001723051435680316,0
NdFeO3,Nd,Fe,True,0.9335884152585224,0.46071428571428574,0.6900000000000002,2.0155038759689923,3.0,1.3,0.645,1.14,1.83,4.0,8.0,1,0.7365575389540548,0.001724999999999999,0.0017030762607704916,0
HoCrO3,Ho,Cr,True,0.8966043801149524,0.43928571428571433,0.42999999999999994,1.878048780487805,3.0,1.155,0.615,1.23,1.66,4.0,6.0,1,0.7017401663692263,0.0018296874999999997,0.001133353319178865,0
LaCrO3,La,Cr,True,0.9685432834118468,0.43928571428571433,0.5599999999999998,2.2113821138211383,3.0,1.36,0.615,1.1,1.66,4.0,6.0,1,0.5551457149849229,0.0018765624999999989,0.0012786167681693176,0
SmCrO3,Sm,Cr,True,0.9264327058722013,0.43928571428571433,0.49,2.016260162601626,3.0,1.24,0.615,1.17,1.66,4.0,6.0,1,0.6780393447532826,0.0019125,0.002075301182961162,0
DyCrO3,Dy,Cr,True,0.900815437868917,0.43928571428571433,0.43999999999999995,1.8975609756097562,3.0,1.167,0.615,1.22,1.66,4.0,6.0,1,0.7021215006556781,0.002009375,0.0007708748581157646,0
DyVO3,Dy,V,True,0.9356407769617874,0.3857142857142858,0.4099999999999999,2.161111111111111,5.0,1.167,0.54,1.22,1.63,4.0,5.0,0,0.4689615031758289,0.0020296874999999985,0.0025782968692712152,0
SmFeO3,Sm,Fe,True,0.9128420060305551,0.46071428571428574,0.6600000000000001,1.9224806201550386,3.0,1.24,0.645,1.17,1.83,4.0,8.0,1,0.7729007030498956,0.0020546874999999997,0.000791678830772776,0
AcVO3,Ac,V,True,0.9695381638949568,0.3857142857142858,0.5299999999999998,2.333333333333333,5.0,1.26,0.54,1.1,1.63,4.0,5.0,0,0.3923899514840286,0.0023140625,0.0026542451073410214,0
NdCrO3,Nd,Cr,True,0.9474879946420242,0.43928571428571433,0.52,2.113821138211382,3.0,1.3,0.615,1.14,1.66,4.0,6.0,1,0.6272744926148291,0.002395312499999999,0.002793833454430264,0
CeCrO3,Ce,Cr,True,0.961524853821906,0.43928571428571433,0.5399999999999998,2.1788617886178865,3.0,1.34,0.615,1.12,1.66,4.0,6.0,1,0.5810718015754398,0.0025109374999999997,0.0021724071964859047,0
GdCrO3,Gd,Cr,True,0.9099393963358402,0.43928571428571433,0.45999999999999996,1.9398373983739838,3.0,1.193,0.615,1.2,1.66,4.0,6.0,1,0.6986850957128313,0.0025875,0.0013196827270219157,0
CeVO3,Ce,V,True,0.9986972064181135,0.3857142857142858,0.5099999999999998,2.4814814814814814,5.0,1.34,0.54,1.12,1.63,4.0,5.0,0,0.3070396841856265,0.0027218750000000003,0.0013312316606718007,0
EuVO3,Eu,V,True,0.9498558101918261,0.3857142857142858,0.42999999999999994,2.233333333333333,5.0,1.206,0.54,1.2,1.63,4.0,5.0,0,0.4413127646321551,0.0027328124999999996,0.00211647128106992,0
CeFeO3,Ce,Fe,True,0.9474193547438339,0.46071428571428574,0.71,2.0775193798449614,3.0,1.34,0.645,1.12,1.83,4.0,8.0,1,0.6964295778313245,0.0028984374999999987,0.0016228403617866258,0
CeTiO3,Ce,Ti,True,0.9663204890030626,0.43214285714285716,0.41999999999999993,2.2148760330578514,4.0,1.34,0.605,1.12,1.54,4.0,4.0,1,0.5420893519207832,0.0031765625,0.002389318985578056,0
LaCoO3,La,Co,True,0.970952595062125,0.4357142857142857,0.7799999999999998,2.2295081967213117,2.0,1.36,0.61,1.1,1.88,4.0,9.0,1,0.535544608867706,0.0032281249999999984,0.001199686645284925,0
YbCrO3,Yb,Cr,True,0.8836202853735616,0.43928571428571433,0.5599999999999998,1.8178861788617888,3.0,1.118,0.615,1.1,1.66,4.0,6.0,1,0.6927886409735283,0.0034609375,0.001436690498974553,0
EuNiO3,Eu,Ni,True,0.9213601358860714,0.4285714285714286,0.71,2.0100000000000002,2.0,1.206,0.6,1.2,1.91,4.0,10.0,1,0.6470265850890344,0.0034703125000000007,0.002031585909725146,0
PrVO3,Pr,V,True,0.9914074457873242,0.3857142857142858,0.5,2.444444444444444,5.0,1.32,0.54,1.13,1.63,4.0,5.0,0,0.3290691378571661,0.0034906250000000002,0.0013017678784541427,0
AcCoO3,Ac,Co,True,0.9357731532120481,0.4357142857142857,0.7799999999999998,2.0655737704918034,2.0,1.26,0.61,1.1,1.88,4.0,9.0,1,0.6461371594604159,0.0037343750000000003,0.0023616545279475155,0
TbCrO3,Tb,Cr,True,0.9053774171023786,0.43928571428571433,0.5599999999999998,1.91869918699187,3.0,1.18,0.615,1.1,1.66,4.0,6.0,1,0.701130395380549,0.0037625000000000007,0.0018423723666783545,0
TbVO3,Tb,V,True,0.9403791213718002,0.3857142857142858,0.5299999999999998,2.185185185185185,5.0,1.18,0.54,1.1,1.63,4.0,5.0,0,0.4605909133240243,0.0037781250000000002,0.0032019510043682746,0
LaFeO3,La,Fe,True,0.9543348244864894,0.46071428571428574,0.73,2.108527131782946,3.0,1.36,0.645,1.1,1.83,4.0,8.0,1,0.6723525171580825,0.003892187499999999,0.0022795364925997015,0
PrMnO3,Pr,Mn,True,0.940503885001178,0.46071428571428574,0.42000000000000015,2.046511627906977,2.0,1.32,0.645,1.13,1.55,4.0,7.0,1,0.7179272240673592,0.004078125000000001,0.0018692280951973191,0
NdVO3,Nd,V,True,0.9841176851565352,0.3857142857142858,0.49,2.4074074074074074,5.0,1.3,0.54,1.14,1.63,4.0,5.0,0,0.3508099709707326,0.004151562499999999,0.0014448918306723681,0
KNpO3,K,Np,True,0.9386919715314866,0.6357142857142858,0.5400000000000001,1.842696629213483,,1.64,0.89,0.82,1.36,7.0,3.0,1,0.8584380719595992,0.004228124999999999,0.005102147028151482,0
CeCoO3,Ce,Co,True,0.9639167066921097,0.4357142857142857,0.7599999999999998,2.19672131147541,2.0,1.34,0.61,1.12,1.88,4.0,9.0,1,0.5615666444769991,0.004310937499999999,0.0020841237432896705,0
AcTiO3,Ac,Ti,True,0.9381067520978636,0.43214285714285716,0.43999999999999995,2.0826446280991737,4.0,1.26,0.605,1.1,1.54,4.0,4.0,1,0.6281286355070858,0.004765624999999999,0.0031965542361072183,0
NdCoO3,Nd,Co,True,0.9498449299520789,0.4357142857142857,0.74,2.1311475409836067,2.0,1.3,0.61,1.14,1.88,4.0,9.0,1,0.6083630800297749,0.004824999999999999,0.0018754374489702399,0
AcFeO3,Ac,Fe,True,0.919757475773211,0.46071428571428574,0.73,1.9534883720930232,3.0,1.26,0.645,1.1,1.83,4.0,8.0,1,0.764237456059132,0.0048640625,0.004661693284348913,0
SmNiO3,Sm,Ni,True,0.9333809511662425,0.4285714285714286,0.74,2.066666666666667,2.0,1.24,0.6,1.17,1.91,4.0,10.0,1,0.6260847583464015,0.004984374999999999,0.0026477345121584607,0
AcMnO3,Ac,Mn,True,0.919757475773211,0.46071428571428574,0.44999999999999996,1.9534883720930232,2.0,1.26,0.645,1.1,1.55,4.0,7.0,1,0.764237456059132,0.004984375,0.0025694931254772796,0
NdMnO3,Nd,Mn,True,0.9335884152585224,0.46071428571428574,0.41000000000000014,2.0155038759689923,2.0,1.3,0.645,1.14,1.55,4.0,7.0,1,0.7365575389540548,0.00505625,0.0018009871425137926,0
