element,n_train,n_test,test_frac,RMSE,MAE,R2
Ho,4778,136,0.027676027676027677,0.14681156779891677,0.09121482604518319,0.9603596690747843
Pr,4779,135,0.027472527472527472,0.1699316214835114,0.11712690416386987,0.951589177983433
Ni,4826,88,0.01790801790801791,0.20652588657826854,0.15517725185774242,0.9431267760455525
Dy,4777,137,0.02787952787952788,0.18024737443313588,0.1132341398590252,0.9399508911797754
Tm,4774,140,0.02849002849002849,0.1854525224918495,0.13093712874539726,0.9364020598123405
Pt,4773,141,0.028693528693528692,0.19309147395543033,0.14821188706765318,0.9308069667185922
Nd,4779,135,0.027472527472527472,0.20596463132376072,0.13000767101408045,0.9288788891587533
Er,4776,138,0.028083028083028084,0.20566739786090873,0.10410164483975777,0.9286760946373289
Ru,4777,137,0.02787952787952788,0.20506194671892056,0.15821002403545162,0.9203558507329819
Lu,4775,139,0.028286528286528285,0.22438504313967664,0.1538830351786924,0.9132613059246151
Co,4817,97,0.01973951973951974,0.2568810125823087,0.1556412263872077,0.9056554682132143
Ir,4774,140,0.02849002849002849,0.24073494685029248,0.1803710928900013,0.9001672050723374
Y,4778,136,0.027676027676027677,0.23754465480646575,0.1819017276632573,0.8933487813925369
Gd,4774,140,0.02849002849002849,0.25034561638873465,0.1535613451180202,0.88240780792745
Fe,4807,107,0.021774521774521775,0.30307201427628455,0.21956408308014796,0.8773754907290171
Cu,4773,141,0.028693528693528692,0.32539643001344415,0.22798759407041605,0.8741983198992003
Sm,4780,134,0.02726902726902727,0.27024627520534256,0.1716441660363616,0.8736885557462095
La,4780,134,0.02726902726902727,0.27632069327289493,0.20039039567959568,0.8586926604658287
Pm,4774,140,0.02849002849002849,0.2864711525941502,0.2009981256009722,0.8539236056875501
Ba,4778,136,0.027676027676027677,0.3194062267885269,0.2316194471143797,0.8526813911827913
Rh,4776,138,0.028083028083028084,0.2926270279176683,0.1966147455955169,0.8525475997790884
Mo,4774,140,0.02849002849002849,0.2876813087879972,0.20581581769728485,0.8507726650853925
Nb,4779,135,0.027472527472527472,0.29552712743466747,0.21561122975542368,0.8394733230110174
Ce,4775,139,0.028286528286528285,0.2990437309938835,0.20858293770351916,0.8381506706276645
Tb,4772,142,0.028897028897028897,0.30653954023653546,0.24348050909476912,0.8232571052565264
Sr,4772,142,0.028897028897028897,0.34643871165482165,0.25227263733105293,0.8207051649739489
Zn,4774,140,0.02849002849002849,0.37679807829445977,0.29472215972158455,0.8201640363308154
Na,4774,140,0.02849002849002849,0.39654260121561485,0.2797990984851527,0.817786585387752
K,4776,138,0.028083028083028084,0.44167146850633665,0.2921432802034563,0.8152271494961336
Ag,4772,142,0.028897028897028897,0.36839692196687457,0.29728726949880524,0.8141188171395316
Mn,4774,140,0.02849002849002849,0.34904623399859025,0.265713998813221,0.8096908141245182
W,4774,140,0.02849002849002849,0.37915034741525916,0.31308156136964543,0.8074024827150678
V,4781,133,0.027065527065527065,0.3485325432581197,0.2648384280211915,0.8057193428913221
Sb,4771,143,0.0291005291005291,0.277582309873807,0.20106444479180113,0.7981152918065235
Ti,4777,137,0.02787952787952788,0.3890047692936804,0.302653893640584,0.7901066862959709
Tc,4776,138,0.028083028083028084,0.3219811417360293,0.2588303814135943,0.7889212438921682
Pu,4843,71,0.014448514448514449,0.33230600617679007,0.262870581789292,0.7886914595003236
Zr,4774,140,0.02849002849002849,0.36155266622744947,0.2417348831410769,0.7760387281687793
Sc,4776,138,0.028083028083028084,0.38935643193386255,0.29446017409347836,0.770603040699674
As,4770,144,0.029304029304029304,0.34445144627451996,0.21399905642307682,0.768799601909611
Ga,4772,142,0.028897028897028897,0.4222962969735009,0.3145733532338303,0.7666731782690123
Hf,4776,138,0.028083028083028084,0.3859406922643875,0.31931933463984224,0.7650923970931702
Pd,4772,142,0.028897028897028897,0.3962879248150931,0.32098305871293803,0.7623339137536268
In,4788,126,0.02564102564102564,0.3895045509215068,0.28875268494985984,0.7544084536191729
Li,4772,142,0.028897028897028897,0.46956675960699873,0.33915319844876607,0.7457864730805861
Ge,4778,136,0.027676027676027677,0.355230738485332,0.25281337987133307,0.7390909541060937
Re,4775,139,0.028286528286528285,0.4002154046328089,0.3159609467578299,0.7381878098390836
Cd,4776,138,0.028083028083028084,0.45733714989588925,0.38654710860242547,0.7184339259869611
Ta,4777,137,0.02787952787952788,0.4672374574166607,0.3528724326653233,0.7115284284392039
Tl,4771,143,0.0291005291005291,0.44087666123064495,0.35985952670183075,0.7108537249438072
Cr,4782,132,0.026862026862026864,0.4841543852802477,0.33530554242386984,0.708215807834553
Np,4808,106,0.02157102157102157,0.3611560518331477,0.26792535105861054,0.7022292966639061
Bi,4781,133,0.027065527065527065,0.3758981289074295,0.2660474239153379,0.6972950407597536
Mg,4776,138,0.028083028083028084,0.5138912498057582,0.40931376853369816,0.6825402174115747
Ca,4803,111,0.022588522588522588,0.43269229892561206,0.3352729160348405,0.6761968208997398
Rb,4778,136,0.027676027676027677,0.6142008562469182,0.3960040005128895,0.6726792592056067
Au,4773,141,0.028693528693528692,0.4755496044196759,0.37740524306275197,0.658776543183909
Th,4776,138,0.028083028083028084,0.3593067483749532,0.28738091529346255,0.6526599305476088
Be,4770,144,0.029304029304029304,0.6423825443723086,0.4967327048047131,0.618651062779761
U,4795,119,0.024216524216524215,0.3442840536283816,0.2828215005281289,0.6125536853784015
Eu,4773,141,0.028693528693528692,0.44864764146627545,0.36684666419387535,0.6061741860334579
Cs,4817,97,0.01973951973951974,0.6448405654755714,0.3843854048144485,0.5971647201143366
Sn,4778,136,0.027676027676027677,0.4127788660098063,0.35670699304021236,0.5906623087625076
Yb,4773,141,0.028693528693528692,0.48274503101266963,0.3783295467096251,0.5860724022915865
Te,4773,141,0.028693528693528692,0.43237214836374177,0.3723553232449393,0.4828587348415343
B,4771,143,0.0291005291005291,0.7560099441443192,0.6222370797783555,0.46750609972630985
Pa,4799,115,0.0234025234025234,0.4427272578304421,0.3531536985632671,0.42974328010027507
Si,4770,144,0.029304029304029304,0.7228350911425585,0.560588151342338,0.37156746203792024
Hg,4772,142,0.028897028897028897,0.6868874068954346,0.5788075221215151,0.3566222265362724
Ac,4777,137,0.02787952787952788,0.5368948674543318,0.4134349487695438,0.33037501069078457
Os,4777,137,0.02787952787952788,0.7220050052308579,0.45919846231177325,0.274650737660042
Al,4772,142,0.028897028897028897,0.8571094208393044,0.7281021497627665,0.24614069848408382
Pb,4800,114,0.0231990231990232,0.5509188718202481,0.464755376171856,0.22390228655468358
